Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Ordering ID,Browse Link
LT05_CU_003003_19951029_20170916_C01_V01,1995/10/29,CU,3,3,2017/09/16,28.125,11.9704,.0451,76.2654,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19951029_20170916_C01_V01,LT05_CU_003003_19951029_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19951029_C01_V01
LT05_CU_003003_19950826_20170916_C01_V01,1995/08/26,CU,3,3,2017/09/16,13.0105,3.6406,.0003,81.1935,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19950826_20170916_C01_V01,LT05_CU_003003_19950826_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19950826_C01_V01
LT05_CU_003003_19951022_20170916_C01_V01,1995/10/22,CU,3,3,2017/09/16,48.6691,3.3802,2.01,4.6957,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19951022_20170916_C01_V01,LT05_CU_003003_19951022_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19951022_C01_V01
LT05_CU_003003_19951013_20170916_C01_V01,1995/10/13,CU,3,3,2017/09/16,8.5363,.7416,.0322,82.5835,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19951013_20170916_C01_V01,LT05_CU_003003_19951013_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19951013_C01_V01
LT05_CU_003003_19960204_20170916_C01_V01,1996/02/04,CU,3,3,2017/09/16,8.138,4.4452,81.0995,69.4269,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19960204_20170916_C01_V01,LT05_CU_003003_19960204_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19960204_C01_V01
LT05_CU_003003_19960406_20170916_C01_V01,1996/04/06,CU,3,3,2017/09/16,76.8647,3.3205,.0359,95.4771,LANDSAT_5,TM,1,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19960406_20170916_C01_V01,LT05_CU_003003_19960406_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19960406_C01_V01
LT05_CU_003003_19960101_20170916_C01_V01,1996/01/01,CU,3,3,2017/09/16,96.8,.0315,1.5504,94.1163,LANDSAT_5,TM,1,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19960101_20170916_C01_V01,LT05_CU_003003_19960101_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19960101_C01_V01
LT05_CU_003003_19960202_20170916_C01_V01,1996/02/02,CU,3,3,2017/09/16,15.1496,1.1144,29.6076,67.5171,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19960202_20170916_C01_V01,LT05_CU_003003_19960202_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19960202_C01_V01
LT05_CU_003003_19960211_20170916_C01_V01,1996/02/11,CU,3,3,2017/09/16,4.863,.9836,10.6156,.986,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19960211_20170916_C01_V01,LT05_CU_003003_19960211_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19960211_C01_V01
LT05_CU_003003_19960424_20170916_C01_V01,1996/04/24,CU,3,3,2017/09/16,91.2631,1.4383,.2882,67.2274,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19960424_20170916_C01_V01,LT05_CU_003003_19960424_20170916_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19960424_C01_V01
